timestamp,close,high,low,trade_count,open,volume,vwap,year,month,day,hour
2022-06-13 04:00:00+00:00,105.97,108.21,105.38,53401,107.62,3050674,106.341763,2022,6,13,4
2022-06-14 04:00:00+00:00,106.23,106.74,104.67,39068,106.4,2640286,105.782843,2022,6,14,4
2022-06-15 04:00:00+00:00,108.66,109.77,106.23,40152,107.17,2555287,108.216965,2022,6,15,4
2022-06-16 04:00:00+00:00,105.82,106.59,104.29,45516,106.16,3015545,105.404948,2022,6,16,4
2022-06-17 04:00:00+00:00,109.56,110.98,106.32,71926,106.32,5719594,109.650793,2022,6,17,4
2022-06-21 04:00:00+00:00,111.87,112.8037,111.19,35981,111.19,2205100,112.077407,2022,6,21,4
2022-06-22 04:00:00+00:00,113.25,114.8,110.3,42031,110.3,2590359,113.590286,2022,6,22,4
2022-06-23 04:00:00+00:00,118.01,118.31,113.851,33376,114.15,1945272,116.181797,2022,6,23,4
2022-06-24 04:00:00+00:00,120.04,120.37,117.35,45013,119.23,4208789,118.836354,2022,6,24,4
2022-06-27 04:00:00+00:00,120.12,120.51,118.58,26588,120.28,1804669,119.84586,2022,6,27,4
2022-06-28 04:00:00+00:00,117.36,120.42,116.87,25308,119.98,1843577,118.101823,2022,6,28,4
2022-06-29 04:00:00+00:00,117.99,118.7,116.16,27432,117.02,1317606,117.748793,2022,6,29,4
2022-06-30 04:00:00+00:00,117.63,118.99,115.96,37730,117.01,2398242,117.754041,2022,6,30,4
2022-07-01 04:00:00+00:00,120.17,120.36,116.97,38865,117.59,2066357,119.039109,2022,7,1,4
2022-07-05 04:00:00+00:00,122.81,122.87,118.58,62038,118.86,3577858,121.171384,2022,7,5,4
2022-07-06 04:00:00+00:00,122.79,124.11,121.97,32638,122.75,2290985,122.870669,2022,7,6,4
2022-07-07 04:00:00+00:00,125.82,126.11,122.85,36016,123.03,2744761,125.236118,2022,7,7,4
2022-07-08 04:00:00+00:00,126.66,127.15,124.58,28618,124.93,2132524,126.052481,2022,7,8,4
2022-07-11 04:00:00+00:00,124.31,126.36,124.04,26787,125.81,1641541,124.891422,2022,7,11,4
2022-07-12 04:00:00+00:00,123.5,124.64,121.72,22964,124.05,2051584,123.491363,2022,7,12,4
2022-07-13 04:00:00+00:00,123.55,124.64,121.42,27577,121.5,2110410,123.662299,2022,7,13,4
2022-07-14 04:00:00+00:00,121.47,122.68,120.4,32354,122.45,1982376,121.339073,2022,7,14,4
2022-07-15 04:00:00+00:00,123.25,123.419,120.59,31404,122.32,2075896,122.447682,2022,7,15,4
2022-07-18 04:00:00+00:00,120.52,124.65,119.89,21058,124.24,1481451,122.194141,2022,7,18,4
2022-07-19 04:00:00+00:00,123.62,123.91,121.16,21610,121.85,1507030,123.303371,2022,7,19,4
2022-07-20 04:00:00+00:00,123.94,125.5699,122.86,27779,123.74,1972198,124.37277,2022,7,20,4
2022-07-21 04:00:00+00:00,125.1,125.7,123.7,26362,124.03,1572621,124.994898,2022,7,21,4
2022-07-22 04:00:00+00:00,122.62,126.35,122.09,25628,125.18,1571733,123.430103,2022,7,22,4
2022-07-25 04:00:00+00:00,122.62,123.04,121.45,24802,122.89,1302259,122.302819,2022,7,25,4
2022-07-26 04:00:00+00:00,122.87,124.12,121.35,22786,122.37,1274655,122.823009,2022,7,26,4
2022-07-27 04:00:00+00:00,124.0,124.7,121.83,30013,122.94,1978456,123.094973,2022,7,27,4
2022-07-28 04:00:00+00:00,124.12,124.86,121.19,29265,124.32,1774473,123.370303,2022,7,28,4
2022-07-29 04:00:00+00:00,124.08,124.24,122.79,22761,123.95,1348420,123.571527,2022,7,29,4
2022-08-01 04:00:00+00:00,122.27,124.17,121.92,27977,123.45,1787811,123.037351,2022,8,1,4
2022-08-02 04:00:00+00:00,122.63,123.96,121.24,21772,121.39,1295765,122.813655,2022,8,2,4
2022-08-03 04:00:00+00:00,127.33,128.61,125.32,40158,125.48,2799013,127.609589,2022,8,3,4
